Sweet,Ballroom Blitz,???,Rock Band 1
Soundgarden,Black Hole Sun,???,Rock Band 1
Ramones,Blitzkrieg Bop,???,Rock Band 1
Hole,Celebrity Skin,???,Rock Band 1
Smashing Pumpkins,Cherub Rock,???,Rock Band 1
Radiohead,Creep,???,Rock Band 1
Red Hot Chili Peppers,Dani California,???,Rock Band 1
Fall Out Boy,Dead on Arrival,???,Rock Band 1
Kiss,Detroit Rock City,???,Rock Band 1
The New Pornographers,Electric Version,???,Rock Band 1
Metallica,Enter Sandman,???,Rock Band 1
Faith No More,Epic,???,Rock Band 1
Molly Hatchet,Flirtin' with Disaster,???,Rock Band 1
Boston,Foreplay/Long Time,???,Rock Band 1
The Rolling Stones,Gimme Shelter,???,Rock Band 1
Queens of the Stone Age,Go with the Flow,???,Rock Band 1
The Outlaws,Green Grass and High Tides,???,Rock Band 1
OK Go,Here It Goes Again,???,Rock Band 1
Deep Purple,Highway Star,???,Rock Band 1
Garbage,I Think I'm Paranoid,???,Rock Band 1
Nirvana,In Bloom,???,Rock Band 1
Foo Fighters,Learn to Fly,???,Rock Band 1
The Hives,Main Offender,???,Rock Band 1
Yeah Yeah Yeahs,Maps,???,Rock Band 1
Mountain,Mississippi Queen,???,Rock Band 1
The Police,Next to You,???,Rock Band 1
R.E.M.,Orange Crush,???,Rock Band 1
Black Sabbath,Paranoid,???,Rock Band 1
The Strokes,Reptilia,???,Rock Band 1
Iron Maiden,Run to the Hills,???,Rock Band 1
Beastie Boys,Sabotage,???,Rock Band 1
Weezer,Say It Ain't So,???,Rock Band 1
The Clash,Should I Stay or Should I Go,???,Rock Band 1
David Bowie,Suffragette City,???,Rock Band 1
Nine Inch Nails,The Hand That Feeds,???,Rock Band 1
Rush,Tom Sawyer,???,Rock Band 1
Aerosmith,Train Kept A-Rollin',???,Rock Band 1
Stone Temple Pilots,Vasoline,???,Rock Band 1
Bon Jovi,Wanted Dead or Alive,???,Rock Band 1
Pixies,Wave of Mutilation,???,Rock Band 1
Coheed and Cambria,Welcome Home,???,Rock Band 1
The Killers,When You Were Young,???,Rock Band 1
The Who,Won't Get Fooled Again,???,Rock Band 1
The Konks,29 Fingers,Bonus,Rock Band 1
Anarchy Club,Blood Doll,Bonus,Rock Band 1
Freezepop,Brainpower,Bonus,Rock Band 1
Death of the Cool,Can't Let Go,Bonus,Rock Band 1
The Acro-Brats,"Day Late, Dollar Short",Bonus,Rock Band 1
2000s,Factory-to-Dealer Incentives,Bonus,Rock Band 1
Honest Bob and the,I Get By,Bonus,Rock Band 1
Flyleaf,I'm So Sick,Bonus,Rock Band 1
Crooked X,Nightmare,Bonus,Rock Band 1
Tribe,Outside,Bonus,Rock Band 1
Bang Camaro,Pleasure (Pleasure),Bonus,Rock Band 1
Vagiant,Seven,Bonus,Rock Band 1
The Mother Hips,Time We Had,Bonus,Rock Band 1
Timmy and the Lords of the Underworld,Timmy and the Lords of the Underworld,Bonus,Rock Band 1
Blur,Beetlebum,Eu Bonus,Rock Band 1
H-Blockx,Countdown to Insanity,Eu Bonus,Rock Band 1
